City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,monzon,41.9108,0.1941,16.56,72,23,4.47,ES,1683496397
112,mocuba,-16.8392,36.9856,17.09,97,0,0.61,MZ,1683496151
113,bairiki,1.3292,172.9752,30.0,74,20,3.6,KI,1683496398
114,tilichiki,60.4667,166.1,-2.28,87,66,3.08,RU,1683496398
115,voi,-3.3945,38.563,21.39,89,70,3.92,KE,1683496398
116,ancud,-41.8697,-73.8203,8.83,83,54,1.24,CL,1683496399
117,san juan,-31.5375,-68.5364,21.01,27,17,4.48,AR,1683496399
118,burnie,-41.0667,145.9167,7.75,81,60,2.85,AU,1683496399
119,maun,-19.9833,23.4167,22.98,46,0,5.66,BW,1683496399
120,tabuk,17.4189,121.4443,24.69,86,97,0.79,PH,1683496400
121,sao gabriel,-30.3364,-54.32,15.72,97,100,3.94,BR,1683496400
122,busselton,-33.65,115.3333,17.44,53,96,7.14,AU,1683496167
123,golyshmanovo,56.3979,68.3728,8.01,66,25,6.35,RU,1683496401
124,evensk,61.95,159.2333,-2.25,81,14,0.72,RU,1683496401
125,beringovskiy,63.05,179.3167,-1.53,83,100,3.51,RU,1683496401
126,shelburne,44.0787,-80.2041,12.44,97,100,4.01,CA,1683496402
127,bridlington,54.0831,-0.1919,14.38,93,80,0.89,GB,1683496402
128,port blair,11.6667,92.75,28.47,78,100,1.47,IN,1683496403
129,jalingo,8.8833,11.3667,29.11,53,52,2.59,NG,1683496403
130,lompoc,34.6391,-120.4579,23.9,69,20,9.39,US,1683496194
131,odienne,9.51,-7.5692,28.56,46,100,2.36,CI,1683496403
132,makakilo city,21.3469,-158.0858,27.18,54,40,9.26,US,1683496404
133,dingle,10.9995,122.6711,25.81,87,86,1.22,PH,1683496404
134,puerto del rosario,28.5004,-13.8627,20.86,64,20,10.8,ES,1683496404
135,hithadhoo,-0.6,73.0833,28.21,73,15,6.91,MV,1683496174
136,yellowknife,62.456,-114.3525,18.29,29,0,8.23,CA,1683496161
137,santo domingo,18.5001,-69.9886,30.82,65,75,4.12,DO,1683495909
138,port lincoln,-34.7333,135.8667,13.44,60,63,3.5,AU,1683496178
139,yagodnoye,62.55,149.6667,-1.26,72,8,1.48,RU,1683496406
140,mushie,-3.0167,16.9,23.99,88,88,0.76,CD,1683496406
141,ukiah,39.1502,-123.2078,18.02,51,100,3.09,US,1683496204
142,longyearbyen,78.2186,15.6401,-1.09,86,75,2.57,SJ,1683495985
143,mataura,-46.1927,168.8643,12.21,75,100,1.02,NZ,1683496162
144,dicabisagan,17.0818,122.4157,26.07,80,53,1.56,PH,1683496408
145,kaitangata,-46.2817,169.8464,12.09,78,100,1.31,NZ,1683496153
146,kapit,2.0167,112.9333,22.75,100,100,0.37,MY,1683496408
147,jodar,37.8406,-3.3526,17.58,37,76,0.44,ES,1683496409
148,bambous virieux,-20.3428,57.7575,25.14,83,40,3.09,MU,1683496171
149,sambava,-14.2667,50.1667,22.88,88,7,4.53,MG,1683496409
150,thompson,55.7435,-97.8558,19.09,30,20,2.57,CA,1683496410
151,sao miguel do araguaia,-13.275,-50.1628,25.18,52,13,0.9,BR,1683496410
152,kahului,20.8947,-156.47,28.01,61,20,9.26,US,1683496410
153,general roca,-39.0333,-67.5833,15.35,54,25,2.92,AR,1683496410
154,sao filipe,14.8961,-24.4956,23.17,76,0,4.44,CV,1683496411
155,saint george,37.1041,-113.5841,25.24,20,0,2.68,US,1683496203
156,rocha,-34.4833,-54.3333,15.2,83,100,2.98,UY,1683496412
157,orange,33.7,-117.7675,24.86,55,20,3.6,US,1683496390
158,shingu,33.7333,135.9833,15.08,80,74,4.24,JP,1683496412
159,pisco,-13.7,-76.2167,24.03,69,0,6.17,PE,1683495865
160,pinawa,50.1489,-95.8811,11.78,75,100,5.0,CA,1683496413
161,bell ville,-32.6259,-62.6887,20.37,60,0,1.18,AR,1683496413
162,ponta do sol,32.6667,-17.1,20.95,77,2,2.48,PT,1683496276
163,bowen,-20.0167,148.2333,21.49,74,0,4.98,AU,1683496414
164,saskylakh,71.9167,114.0833,-12.68,92,96,5.37,RU,1683496188
165,sorong,-0.8833,131.25,27.06,84,94,2.44,ID,1683496414
166,grindavik,63.8424,-22.4338,10.97,93,75,5.14,IS,1683496158
167,severo-yeniseyskiy,60.3725,93.0408,2.75,93,87,2.49,RU,1683496415
168,belyy yar,53.6039,91.3903,5.94,65,0,0.0,RU,1683496415
169,dongsheng,39.8161,109.9776,9.47,63,100,2.8,CN,1683496416
170,meulaboh,4.1363,96.1285,24.4,96,100,3.43,ID,1683496416
171,cockburn town,21.4612,-71.1419,26.4,74,16,7.15,TC,1683496416
172,santiago del estero,-27.7951,-64.2615,20.14,62,0,2.68,AR,1683496416
173,guerrero negro,27.9769,-114.0611,19.49,56,0,9.84,MX,1683496179
174,fukuma,33.7667,130.4667,15.16,68,100,9.98,JP,1683496417
175,batagay-alyta,67.8006,130.4114,-14.23,88,99,1.6,RU,1683496417
176,egvekinot,66.3167,-179.1667,-4.03,94,100,3.34,RU,1683496418
177,adre,13.4667,22.2,27.5,42,30,1.39,TD,1683496418
178,morlaix,48.5833,-4.0,12.9,89,0,3.09,FR,1683496419
179,arica,-18.475,-70.3042,21.75,68,0,5.14,CL,1683496413
180,zhanaozen,43.3,52.8,19.02,28,89,5.04,KZ,1683496419
181,nagato,34.3833,131.2,13.78,68,93,10.68,JP,1683496419
182,mazagao,-0.115,-51.2894,30.03,80,79,2.33,BR,1683496420
183,husavik,66.0449,-17.3389,9.55,78,56,4.87,IS,1683496420
184,saint-pierre,-21.3393,55.4781,23.82,78,0,3.09,RE,1683496421
185,akniste,56.1615,25.7478,1.6,67,4,1.74,LV,1683496421
186,esperance,-33.8667,121.9,11.87,88,82,5.21,AU,1683496193
187,ust-maya,60.4167,134.5333,1.48,94,100,2.46,RU,1683496421
188,eyrarbakki,63.863,-21.1481,11.03,97,100,5.03,IS,1683496422
189,port elizabeth,-33.918,25.5701,18.16,77,75,3.09,ZA,1683496422
190,hoi an,15.8794,108.335,27.98,86,100,1.13,VN,1683496422
191,korla,41.7597,86.1469,9.78,40,59,2.3,CN,1683496423
192,chesma,53.8111,60.6533,4.34,46,32,2.84,RU,1683496424
193,bundaberg,-24.85,152.35,12.9,49,0,2.24,AU,1683496160
194,puerto escondido,15.85,-97.0667,31.93,60,12,3.31,MX,1683496424
195,minbu,20.1833,94.8833,30.29,57,6,2.28,MM,1683496424
196,quatre cocos,-20.2078,57.7625,25.06,79,39,5.65,MU,1683496425
197,lagoa,39.05,-27.9833,16.97,95,100,8.89,PT,1683496181
198,obo,5.3998,26.4869,22.78,75,99,0.46,CF,1683496425
199,faanui,-16.4833,-151.75,28.0,75,22,6.15,PF,1683496175
200,nuuk,64.1835,-51.7216,3.34,75,100,1.03,GL,1683496426
201,sangin,32.0728,64.8359,19.94,19,0,4.39,AF,1683496426
202,manaure,11.7751,-72.4445,30.68,59,100,7.04,CO,1683496427
203,uddevalla,58.3478,11.9424,6.2,69,6,0.85,SE,1683496427
204,kodiak,57.79,-152.4072,6.73,65,100,5.14,US,1683496427
205,nanortalik,60.1432,-45.2371,1.79,82,100,2.6,GL,1683496166
206,barsukovskaya,44.7632,41.8191,13.08,84,100,3.09,RU,1683496428
207,carnarvon,-24.8667,113.6333,20.81,63,13,6.0,AU,1683496177
208,bethel,41.3712,-73.414,24.47,29,0,3.09,US,1683496226
209,misasi,-3.0,33.0833,19.18,78,9,2.54,TZ,1683496429
210,portland,45.5234,-122.6762,19.24,52,75,1.79,US,1683496248
211,limbazi,57.5129,24.7194,4.46,64,42,1.83,LV,1683496430
212,tiksi,71.6872,128.8694,-17.26,92,34,4.1,RU,1683496430
213,tadine,-21.55,167.8833,25.99,63,57,0.73,NC,1683496430
214,amapa,1.0,-52.0,24.5,84,100,1.96,BR,1683496431
215,sharan,54.8167,54.0,1.3,61,4,2.35,RU,1683496431
216,sinnamary,5.3833,-52.95,24.82,92,100,5.25,GF,1683496432
217,poum,-20.2333,164.0167,24.56,77,74,2.48,NC,1683496433
218,vila franca do campo,37.7167,-25.4333,18.23,93,100,5.04,PT,1683496433
219,leh,34.1667,77.5833,-1.32,73,100,2.76,IN,1683496433
220,viedma,-40.8135,-62.9967,13.65,72,91,5.67,AR,1683496434
221,nikolskoye,59.7035,30.7861,2.94,70,17,2.18,RU,1683496271
222,poshekhonye,58.4993,39.1353,-0.37,70,34,2.16,RU,1683496434
223,mar del plata,-38.0023,-57.5575,16.01,94,75,4.12,AR,1683495933
224,nemuro,43.3236,145.575,2.08,93,100,4.75,JP,1683496435
225,bartica,6.4,-58.6167,25.18,79,80,2.6,GY,1683496435
226,colares,38.7992,-9.4469,17.82,80,20,10.73,PT,1683496435
227,zhigansk,66.7697,123.3711,-11.77,83,18,3.31,RU,1683496436
228,ilam,26.9167,87.9167,18.71,52,16,2.84,NP,1683496436
229,fallon,39.4735,-118.7774,16.93,29,0,2.57,US,1683496436
230,provideniya,64.3833,-173.3,-1.7,86,100,1.64,RU,1683496158
231,lewistown,40.5992,-77.5714,18.52,90,40,0.0,US,1683496409
232,kyenjojo,0.6328,30.6214,16.62,98,19,1.02,UG,1683496437
233,beloha,-25.1667,45.05,20.79,79,12,1.53,MG,1683496157
234,coquimbo,-29.9533,-71.3436,16.85,72,0,5.14,CL,1683495998
235,lavrentiya,65.5833,-171.0,-2.36,83,100,2.81,RU,1683496173
236,sao joao da barra,-21.6403,-41.0511,23.05,81,61,3.16,BR,1683496190
237,tracy,37.7397,-121.4252,22.61,60,96,0.89,US,1683496439
238,shimoda,34.6667,138.95,20.06,95,100,9.84,JP,1683496440
239,san andres,12.5847,-81.7006,30.01,66,100,6.69,CO,1683496440
240,mitu,1.1983,-70.1733,25.41,96,96,0.01,CO,1683496440
241,machala,-3.2667,-79.9667,29.97,74,75,1.54,EC,1683496352
242,ratnagiri,16.9833,73.3,27.38,77,77,2.51,IN,1683496441
243,san ramon,37.7799,-121.978,21.08,55,0,6.17,US,1683496441
244,yunyang,33.4474,112.7142,14.3,50,96,1.59,CN,1683496442
245,saint-augustin,51.226000000000006,-58.6502,5.6,84,98,0.28,CA,1683496160
246,cherskiy,68.75,161.3,-3.37,78,20,3.43,RU,1683496270
247,menongue,-14.6585,17.691,17.58,47,37,2.15,AO,1683496443
248,along,28.1667,94.7667,17.38,84,63,0.9,IN,1683496443
249,san angelo,31.4638,-100.43700000000001,33.12,42,20,6.26,US,1683496299
250,astoria,46.1879,-123.8313,14.84,65,75,3.09,US,1683496158
251,nizhneangarsk,55.7833,109.55,-0.44,82,99,0.46,RU,1683496444
252,severo-kurilsk,50.6789,156.125,2.27,86,26,4.77,RU,1683496444
253,portales,34.1862,-103.3344,33.52,5,0,8.4,US,1683496444
254,georgetown,5.4112,100.3354,26.97,94,20,1.54,MY,1683496129
255,vanimo,-2.6741,141.3028,26.46,88,58,2.1,PG,1683496445
256,koumac,-20.5667,164.2833,25.14,73,79,1.43,NC,1683496445
257,bambanglipuro,-7.95,110.2833,25.19,83,96,0.93,ID,1683496446
258,thurso,58.5927,-3.5259,9.14,94,100,8.41,GB,1683496446
259,whitehorse,60.7161,-135.0538,12.43,32,75,3.6,CA,1683495987
260,sooke,48.3746,-123.7276,15.73,81,77,3.09,CA,1683496447
261,ciudad bolivar,8.1222,-63.5497,32.97,44,81,5.71,VE,1683496447
262,leshukonskoye,64.8989,45.7622,-9.47,99,88,1.71,RU,1683496447
